x,y,z,Bx,By,Bz
-250.0,-110.0,14.0,0.1090601,0.047745,0.2732679
-250.0,-110.0,16.0,0.1220591,0.05343945,0.2632969
-250.0,-110.0,18.0,0.1339304,0.058641,0.2522764
-250.0,-110.0,20.0,0.1445378,0.06329291,0.2403912
-250.0,-100.0,-20.0,-0.1735042,-0.069324,0.2628323
-250.0,-100.0,-18.0,-0.1610002,-0.06432696,0.2779912
-250.0,-100.0,-16.0,-0.1467406,-0.058625,0.2919468
-250.0,-100.0,-14.0,-0.1309761,-0.05232101,0.3044226
-250.0,-100.0,-12.0,-0.1139947,-0.045531,0.3152401
-250.0,-100.0,-10.0,-0.0960833,-0.03837140,0.3243148
-250.0,-100.0,-8.0,-0.0774989,-0.030945,0.3316366
-250.0,-100.0,-6.0,-0.0584531,-0.02333736,0.3372418
-250.0,-100.0,-4.0,-0.0391106,-0.015613,0.3411874
-250.0,-100.0,-2.0,-0.0195948,-0.00782201,0.3435286
-250.0,-100.0,0.0,-0.00000000,-0.000000,0.3443044
-250.0,-100.0,2.0,0.0195948,0.00782201,0.3435286
-250.0,-100.0,4.0,0.0391106,0.015613,0.3411874
-250.0,-100.0,6.0,0.0584531,0.02333736,0.3372418
-250.0,-100.0,8.0,0.0774989,0.030945,0.3316366
-250.0,-100.0,10.0,0.0960833,0.03837140,0.3243148
-250.0,-100.0,12.0,0.1139947,0.045531,0.3152401
-250.0,-100.0,14.0,0.1309761,0.05232101,0.3044226
-250.0,-100.0,16.0,0.1467406,0.058625,0.2919468
-250.0,-100.0,18.0,0.1610002,0.06432696,0.2779912
-250.0,-100.0,20.0,0.1735042,0.069324,0.2628323
-250.0,-90.0,-20.0,-0.2083753,-0.07530564,0.2866291
-250.0,-90.0,-18.0,-0.1933899,-0.069885,0.3061225
-250.0,-90.0,-16.0,-0.1758834,-0.06354103,0.3237878
-250.0,-90.0,-14.0,-0.1563755,-0.056467,0.3391958
-250.0,-90.0,-12.0,-0.1354295,-0.04887616,0.3521571
-250.0,-90.0,-10.0,-0.1135513,-0.040956,0.3626837
-250.0,-90.0,-8.0,-0.0911342,-0.03285296,0.3709158
-250.0,-90.0,-6.0,-0.0684474,-0.024663,0.3770471
-250.0,-90.0,-4.0,-0.0456517,-0.01644372,0.3812692
-250.0,-90.0,-2.0,-0.0228268,-0.008220,0.3837367
-250.0,-90.0,0.0,-0.00000000,-0.0000000,0.3845480
-250.0,-90.0,2.0,0.0228268,0.008220,0.3837367
-250.0,-90.0,4.0,0.0456517,0.01644372,0.3812692
-250.0,-90.0,6.0,0.0684474,0.024663,0.3770471
-250.0,-90.0,8.0,0.0911342,0.03285296,0.3709158
-250.0,-90.0,10.0,0.1135513,0.040956,0.3626837
-250.0,-90.0,12.0,0.1354295,0.04887616,0.3521571
-250.0,-90.0,14.0,0.1563755,0.056467,0.3391958
-250.0,-90.0,16.0,0.1758834,0.06354103,0.3237878
-250.0,-90.0,18.0,0.1933899,0.069885,0.3061225
-250.0,-90.0,20.0,0.2083753,0.07530564,0.2866291
-250.0,-80.0,-20.0,-0.2502646,-0.079409,0.3118789
-250.0,-80.0,-18.0,-0.2317647,-0.07353003,0.3372489
-250.0,-80.0,-16.0,-0.2094960,-0.066464,0.3595414
-250.0,-80.0,-14.0,-0.1846524,-0.05858598,0.3781041
-250.0,-80.0,-12.0,-0.1583887,-0.050258,0.3928937
-250.0,-80.0,-10.0,-0.1315754,-0.04175473,0.4042619
-250.0,-80.0,-8.0,-0.1047473,-0.033244,0.4127143
-250.0,-80.0,-6.0,-0.0781623,-0.02480885,0.4187466
-250.0,-80.0,-4.0,-0.0518872,-0.016470,0.4227656
-250.0,-80.0,-2.0,-0.0258716,-0.00821246,0.4250622
-250.0,-80.0,0.0,-0.00000000,-0.000000,0.4258088
-250.0,-80.0,2.0,0.0258716,0.00821246,0.4250622
-250.0,-80.0,4.0,0.0518872,0.016470,0.4227656
-250.0,-80.0,6.0,0.0781623,0.02480885,0.4187466
-250.0,-80.0,8.0,0.1047473,0.033244,0.4127143
-250.0,-80.0,10.0,0.1315754,0.04175473,0.4042619
-250.0,-80.0,12.0,0.1583887,0.050258,0.3928937
-250.0,-80.0,14.0,0.1846524,0.05858598,0.3781041
-250.0,-80.0,16.0,0.2094960,0.06646412,0.3595414
-250.0,-80.0,18.0,0.2317647,0.073530,0.3372489
-250.0,-80.0,20.0,0.2502646,0.07940906,0.3118789
-250.0,-70.0,-20.0,-0.2963790,-0.080593,0.3383102
-250.0,-70.0,-18.0,-0.2730452,-0.07427806,0.3713136
-250.0,-70.0,-16.0,-0.2441782,-0.066518,0.3989256
-250.0,-70.0,-14.0,-0.2123722,-0.05796817,0.4203253
-250.0,-70.0,-12.0,-0.1797543,-0.049168,0.4360530
-250.0,-70.0,-10.0,-0.1475767,-0.04044585,0.4472250
-250.0,-70.0,-8.0,-0.1163662,-0.031944,0.4549630
-250.0,-70.0,-6.0,-0.0862041,-0.02369439,0.4601657
-250.0,-70.0,-4.0,-0.0569382,-0.015664,0.4634744
-250.0,-70.0,-2.0,-0.0283064,-0.00779141,0.4653058
-250.0,-70.0,0.0,-0.00000000,-0.000000,0.4658915
-250.0,-70.0,2.0,0.0283064,0.00779141,0.4653058
-250.0,-70.0,4.0,0.0569382,0.015664,0.4634744
-250.0,-70.0,6.0,0.0862041,0.02369439,0.4601657
-250.0,-70.0,8.0,0.1163662,0.031944,0.4549630
-250.0,-70.0,10.0,0.1475767,0.04044585,0.4472250
-250.0,-70.0,12.0,0.1797543,0.049168,0.4360530
-250.0,-70.0,14.0,0.2123722,0.05796817,0.4203253
-250.0,-70.0,16.0,0.2441782,0.066518,0.3989256
-250.0,-70.0,18.0,0.2730452,0.07427806,0.3713136
-250.0,-70.0,20.0,0.2963790,0.080593,0.3383102
-250.0,-60.0,-20.0,-0.3484164,-0.08327576,0.3664330
-250.0,-60.0,-18.0,-0.3176596,-0.075906,0.4100797
-250.0,-60.0,-16.0,-0.2788409,-0.06660821,0.4435141
-250.0,-60.0,-14.0,-0.2376941,-0.056756,0.4664234
-250.0,-60.0,-12.0,-0.1976887,-0.04718532,0.4812110
-250.0,-60.0,-10.0,-0.1600765,-0.038193,0.4905034
-250.0,-60.0,-8.0,-0.1249352,-0.02979916,0.4962607
-250.0,-60.0,-6.0,-0.0918818,-0.021909,0.4997673
-250.0,-60.0,-4.0,-0.0603969,-0.01439909,0.5018197
-250.0,-60.0,-2.0,-0.0299437,-0.007137,0.5028881
-250.0,-60.0,0.0,-0.00000000,-0.0000000,0.5032187
-250.0,-60.0,2.0,0.0299437,0.007137,0.5028881
-250.0,-60.0,4.0,0.0603969,0.01439909,0.5018197
-250.0,-60.0,6.0,0.0918818,0.021909,0.4997673
-250.0,-60.0,8.0,0.1249352,0.02979916,0.4962607
-250.0,-60.0,10.0,0.1600765,0.038193,0.4905034
-250.0,-60.0,12.0,0.1976887,0.04718532,0.4812110
-250.0,-60.0,14.0,0.2376941,0.056756,0.4664234
-250.0,-60.0,16.0,0.2788409,0.06660821,0.4435141
-250.0,-60.0,18.0,0.3176596,0.075906,0.4100797
-250.0,-60.0,20.0,0.3484164,0.08327576,0.3664330
-250.0,-50.0,-20.0,-0.4176100,-0.088340,0.3991106
